FI_PAISCU|FI_CANALCU|FI_SUCURSALCU|FI_FOLIOCU|FI_COD_IDENTIFICADOR|FI_MARCA
1|1|107|21953|11|1
1|1|107|22197|15|1
1|1|107|23497|10|1
1|1|107|25223|4|1
1|1|107|33467|11|1
1|1|110|34163|15|1
1|1|110|56956|11|1
1|1|116|121238|15|1
1|1|114|12226|4|1
1|1|118|27676|10|1
1|1|118|71875|11|1
1|1|121|57285|21|1
1|1|121|102601|10|1
1|1|121|110220|4|1
1|1|120|127039|4|1
1|1|120|130719|4|1
1|1|137|3689|4|1
1|1|148|78674|4|1
1|1|153|96461|11|1
1|1|195|81829|14|1
1|1|188|52854|11|1
1|1|168|53416|11|1
1|1|180|483|4|1
1|1|182|26081|11|1
1|1|182|33835|11|1
1|1|172|11512|11|1
1|1|175|4433|4|1
1|1|408|134000|4|1
1|1|495|39194|4|1
1|1|550|99082|4|1
1|1|495|95581|4|1
1|1|518|27137|11|1
1|1|301|37699|11|1
1|1|479|36567|4|1
1|1|206|41899|11|1
1|1|199|102660|4|1
1|1|209|69294|4|1
1|1|212|18925|4|1
1|1|209|86415|10|1
1|1|210|18751|4|1
1|1|987|10855|11|1
1|1|987|41465|15|1
1|1|709|119337|15|1
1|1|974|34663|21|1
1|1|673|39071|4|1
1|1|563|85823|4|1
1|1|602|87366|4|1
1|1|631|92432|4|1
1|1|644|11436|4|1
1|1|628|49629|4|1
1|1|602|65685|11|1
1|1|631|22230|4|1
1|1|1106|99998|14|1
1|1|1085|114236|4|1
1|1|1079|95897|4|1
1|1|1106|17960|10|1
1|1|1083|85726|4|1
1|1|1070|58322|4|1
1|1|1009|66803|11|1
1|1|1009|73862|11|1
1|1|1009|73957|11|1
1|1|1025|48509|11|1
1|1|1037|10467|10|1
1|1|1067|52009|11|1
1|1|1012|33509|4|1
1|1|1012|57515|4|1
1|1|1009|43514|11|1
1|1|1009|50640|11|1
1|1|1245|57634|11|1
1|1|1245|177509|4|1
1|1|1363|707|11|1
1|1|1245|84538|11|1
1|1|1339|21437|11|1
1|1|1229|52005|10|1
1|1|1258|108241|11|1
1|1|1294|22049|4|1
1|1|1106|154648|10|1
1|1|1174|21123|10|1
1|1|1174|39980|11|1
1|1|1158|24645|11|1
1|1|1203|115395|21|1
1|1|1135|130399|11|1
1|1|1601|58628|11|1
1|1|1559|32041|10|1
1|1|1562|98537|10|1
1|1|1591|121697|4|1
1|1|1508|7397|4|1
1|1|1436|20877|11|1
1|1|1397|22217|4|1
1|1|1397|48098|4|1
1|1|1834|9073|11|1
1|1|1834|27782|11|1
1|1|1834|53592|11|1
1|1|1779|10702|10|1
1|1|1834|73769|4|1
1|1|1818|25387|11|1
1|1|1672|86780|4|1
1|1|1601|156490|11|1
1|1|1672|20330|4|1
1|1|1672|23557|4|1
1|1|2007|79771|11|1
1|1|1928|100647|11|1
1|1|2008|73441|4|1
1|1|1957|42771|4|1
1|1|2009|18236|4|1
1|1|2009|21712|4|1
1|1|1964|769|11|1
1|1|2002|70304|10|1
1|1|1915|38365|15|1
1|1|1928|36627|11|1
1|1|1915|59219|10|1
1|1|1902|51304|11|1
1|1|1889|18655|11|1
1|1|1915|105749|10|1
1|1|1915|108037|4|1
1|1|1850|62147|11|1
1|1|1892|43288|11|1
1|1|2049|5071|4|1
1|1|2050|13341|10|1
1|1|2024|132810|11|1
1|1|2024|133001|11|1
1|1|2025|78512|4|1
1|1|2047|38829|11|1
1|1|2045|24247|4|1
1|1|2048|34463|21|1
1|1|2048|65376|21|1
1|1|2010|56858|4|1
1|1|2011|58937|11|1
1|1|2015|58212|10|1
1|1|2021|20251|11|1
1|1|2023|52318|4|1
1|1|2077|9637|10|1
1|1|2081|17812|11|1
1|1|2077|30752|10|1
1|1|2077|55386|10|1
1|1|2077|65805|10|1
1|1|2080|24783|11|1
1|1|2075|10700|10|1
1|1|2056|7044|21|1
1|1|2063|70418|10|1
1|1|2052|17944|11|1
1|1|2054|62512|4|1
1|1|2068|5705|4|1
1|1|2063|31637|11|1
1|1|2063|41524|11|1
1|1|2107|98626|11|1
1|1|2107|99175|10|1
1|1|2107|100666|11|1
1|1|2106|17730|21|1
1|1|2118|32640|11|1
1|1|2122|5029|4|1
1|1|2119|14784|11|1
1|1|2105|159580|11|1
1|1|2097|84175|10|1
1|1|2105|61882|15|1
1|1|2099|17535|11|1
1|1|2093|37387|11|1
1|1|2093|42991|11|1
1|1|2099|40130|11|1
1|1|2093|71521|4|1
1|1|2083|73366|11|1
1|1|2104|42517|4|1
1|1|2141|32240|11|1
1|1|2141|41777|11|1
1|1|2142|6886|4|1
1|1|2142|10094|11|1
1|1|2154|14343|11|1
1|1|2154|15058|11|1
1|1|2154|15320|11|1
1|1|2154|16899|11|1
1|1|2142|24828|11|1
1|1|2154|22786|11|1
1|1|2140|118944|4|1
1|1|2141|29454|11|1
1|1|2131|12992|11|1
1|1|2136|19470|4|1
1|1|2136|129840|4|1
1|1|2135|6915|11|1
1|1|2131|12719|11|1
1|1|2197|14959|21|1
1|1|2194|9752|10|1
1|1|2191|22169|11|1
1|1|2188|101457|10|1
1|1|2189|28097|11|1
1|1|2196|3343|11|1
1|1|2185|61504|4|1
1|1|2161|101730|4|1
1|1|2156|56899|11|1
1|1|2161|121728|4|1
1|1|2170|28765|15|1
1|1|2182|39198|10|1
1|1|2177|40179|4|1
1|1|2273|128415|4|1
1|1|2286|45956|11|1
1|1|2218|86358|4|1
1|1|2209|30672|21|1
1|1|2202|121892|4|1
1|1|2199|45853|4|1
1|1|2199|47767|4|1
1|1|2205|19867|4|1
1|1|2214|38746|4|1
1|1|2206|14202|4|1
1|1|2202|64092|15|1
1|1|2218|11956|4|1
1|1|2464|20463|11|1
1|1|2464|21913|11|1
1|1|2464|24707|11|1
1|1|2464|32135|11|1
1|1|2472|50013|4|1
1|1|2299|68536|4|1
1|1|2299|131508|4|1
1|1|2392|4366|11|1
1|1|2367|76388|4|1
1|1|2392|45781|11|1
1|1|2587|175763|4|1
1|1|2684|42599|10|1
1|1|2697|86280|4|1
1|1|2697|90416|4|1
1|1|2587|62994|4|1
1|1|2697|70923|21|1
1|1|2532|111239|11|1
1|1|2532|124736|11|1
1|1|2516|96345|21|1
1|1|2516|99014|15|1
1|1|2516|101260|10|1
1|1|2574|17504|11|1
1|1|2574|34238|10|1
1|1|2552|127473|10|1
1|1|2552|136970|11|1
1|1|2532|82632|4|1
1|1|2532|86890|10|1
1|1|2558|69467|10|1
1|1|2901|55394|4|1
1|1|2901|90376|10|1
1|1|2875|77039|11|1
1|1|2862|50699|11|1
1|1|2891|80351|4|1
1|1|2752|144539|4|1
1|1|2765|39388|11|1
1|1|2749|54832|21|1
1|1|2765|57676|4|1
1|1|2765|58459|10|1
1|1|2749|68065|11|1
1|1|3162|73700|15|1
1|1|3175|110134|10|1
1|1|3154|1449|4|1
1|1|3094|9607|10|1
1|1|3104|20072|4|1
1|1|3162|48143|11|1
1|1|3104|53277|21|1
1|1|3104|53284|21|1
1|1|3065|105936|4|1
1|1|2956|68559|4|1
1|1|2927|11833|11|1
1|1|2927|130950|11|1
1|1|2930|169728|4|1
1|1|2930|183627|21|1
1|1|3036|37811|4|1
1|1|3395|90435|10|1
1|1|3476|33539|4|1
1|1|3476|39627|11|1
1|1|3405|18927|10|1
1|1|3405|19883|10|1
1|1|3405|21166|10|1
1|1|3382|51210|11|1
1|1|3463|89497|4|1
1|1|3463|103015|14|1
1|1|3308|68802|11|1
1|1|3340|103496|21|1
1|1|3175|130318|10|1
1|1|3191|46154|11|1
1|1|3256|55940|4|1
1|1|3201|17442|4|1
1|1|3230|200372|10|1
1|1|3340|102266|4|1
1|1|3308|68284|11|1
1|1|3751|56330|11|1
1|1|3667|60751|11|1
1|1|3667|62388|11|1
1|1|3638|32139|11|1
1|1|3667|84999|4|1
1|1|3667|107934|4|1
1|1|3667|43617|11|1
1|1|3544|65183|11|1
1|1|3515|100033|4|1
1|1|3544|28467|11|1
1|1|3515|42238|11|1
1|1|4156|14665|10|1
1|1|4156|21922|4|1
1|1|4180|24588|10|1
1|1|4182|6008|4|1
1|1|4155|18515|4|1
1|1|4155|37016|10|1
1|1|4132|17975|11|1
1|1|3874|44809|4|1
1|1|3874|56010|21|1
1|1|3892|9240|11|1
1|1|4378|40682|11|1
1|1|4378|137115|4|1
1|1|4378|41077|11|1
1|1|4378|161596|4|1
1|1|4288|7510|4|1
1|1|4297|20655|11|1
1|1|4297|61022|4|1
1|1|4229|2251|10|1
1|1|4229|2753|11|1
1|1|4229|38342|11|1
1|1|4307|111346|11|1
1|1|4307|127661|11|1
1|1|4284|23289|11|1
1|1|4569|110080|4|1
1|1|4543|99335|11|1
1|1|4527|120840|15|1
1|1|4530|31913|4|1
1|1|4543|129512|11|1
1|1|4543|135906|4|1
1|1|4543|56702|4|1
1|1|4527|19575|11|1
1|1|4495|5896|11|1
1|1|4514|118534|4|1
1|1|4514|13581|11|1
1|1|4514|136142|4|1
1|1|4466|20282|4|1
1|1|4514|53801|11|1
1|1|4417|64191|21|1
1|1|4449|19852|4|1
1|1|4449|24419|11|1
1|1|4420|6257|11|1
1|1|4488|51206|11|1
1|1|4461|6702|11|1
1|1|4899|14980|11|1
1|1|4857|158642|4|1
1|1|4802|41971|21|1
1|1|4873|6049|11|1
1|1|4608|121102|4|1
1|1|4637|84690|10|1
1|1|4718|70556|4|1
1|1|4614|7591|11|1
1|1|4721|40170|4|1
1|1|4695|81492|11|1
1|1|4695|104543|4|1
1|1|5102|114890|10|1
1|1|5102|146284|4|1
1|1|5063|107505|4|1
1|1|5002|81867|11|1
1|1|5047|12260|4|1
1|1|5116|27596|4|1
1|1|5116|35980|10|1
1|1|5021|109941|10|1
1|1|5089|71392|4|1
1|1|4983|72447|4|1
1|1|4996|19121|11|1
1|1|4899|63233|11|1
1|1|4925|71411|10|1
1|1|4899|68052|4|1
1|1|4941|126483|4|1
1|1|4941|142030|4|1
1|1|4938|108714|11|1
1|1|4938|114944|11|1
1|1|4909|6704|11|1
1|1|4941|8940|11|1
1|1|5351|2444|4|1
1|1|5351|47601|11|1
1|1|5393|19692|11|1
1|1|5364|4093|11|1
1|1|5267|78889|11|1
1|1|5212|41179|11|1
1|1|5270|21340|11|1
1|1|5117|23185|11|1
1|1|5212|148726|4|1
1|1|5270|58679|4|1
1|1|5117|79232|10|1
1|1|5173|91760|10|1
1|1|5607|40022|10|1
1|1|5649|43811|10|1
1|1|5568|32778|4|1
1|1|5649|87167|11|1
1|1|5636|84130|10|1
1|1|5429|56429|10|1
1|1|5487|104937|11|1
1|1|5487|129567|11|1
1|1|5542|90155|10|1
1|1|5814|54861|11|1
1|1|5814|61601|11|1
1|1|5791|64103|10|1
1|1|5791|101266|11|1
1|1|5814|112902|11|1
1|1|5762|37783|11|1
1|1|5814|133276|10|1
1|1|5762|44949|4|1
1|1|5827|51527|4|1
1|1|5762|62753|4|1
1|1|5746|24744|10|1
1|1|5678|114977|11|1
1|1|5746|111698|11|1
1|1|5694|61029|4|1
1|1|5746|59023|11|1
1|1|5746|66772|21|1
1|1|5746|69862|10|1
1|1|5746|85245|10|1
1|1|5746|88756|4|1
1|1|5733|96257|4|1
1|1|5746|8941|10|1
1|1|5937|43801|11|1
1|1|6017|44279|11|1
1|1|5982|18832|21|1
1|1|6013|52499|4|1
1|1|6004|12421|4|1
1|1|5898|54624|11|1
1|1|5869|52800|4|1
1|1|5887|2729|11|1
1|1|5856|50242|10|1
1|1|5924|27195|11|1
1|1|5856|71601|21|1
1|1|6064|61364|10|1
1|1|6048|2440|4|1
1|1|6074|3325|11|1
1|1|6066|26153|11|1
1|1|6059|74670|11|1
1|1|6066|48218|4|1
1|1|6046|22809|11|1
1|1|6017|119717|11|1
1|1|6027|27598|4|1
1|1|6023|76089|4|1
1|1|6027|37764|11|1
1|1|6023|12807|4|1
1|1|6023|38896|10|1
1|1|6023|44648|10|1
1|1|6020|22000|4|1
1|1|6115|35473|4|1
1|1|6102|31404|4|1
1|1|6103|34868|10|1
1|1|6125|35036|11|1
1|1|6105|1537|10|1
1|1|6105|24511|11|1
1|1|6114|23808|4|1
1|1|6114|35693|21|1
1|1|6115|825|11|1
1|1|6086|8804|10|1
1|1|6088|9146|10|1
1|1|6094|4716|10|1
1|1|6094|7721|10|1
1|1|6075|102138|4|1
1|1|6081|67448|4|1
1|1|6088|87022|4|1
1|1|6094|43053|11|1
1|1|6092|27138|10|1
1|1|6081|4370|11|1
1|1|6169|85450|11|1
1|1|6198|32520|11|1
1|1|6182|33573|4|1
1|1|6185|47014|11|1
